Reporting Date;Sale Month;Store;Artist;Title;ISRC;UPC;Quantity;Team Percentage;Song/Album;Country of Sale;Songwriter Royalties Withheld;Earnings (USD)
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;2;100;Song;US;0;0.01057142
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;84;100;Song;US;0;0.76989411
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;6;100;Song;US;0;0.06005886
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;2;100;Song;US;0;0.00000000
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;2;100;Song;US;0;0.00212738
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;6;100;Song;US;0;0.01995612
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;US;0;0.00360484
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;316;100;Song;US;0;1.55333043
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;2;100;Song;US;0;0.00983121
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;2;100;Song;US;0;0.02340716
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;US;0;0.00762544
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;5;100;Song;US;0;0.04669525
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;498;100;Song;US;0;4.65084672
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;3;100;Song;US;0;0.01050792
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;253;100;Song;US;0;0.88616785
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;DO;0;0.00803722
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;2;100;Song;ZA;0;0.00261013
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;2;100;Song;ZA;0;0.00316852
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;8;100;Song;ZA;0;0.02219199
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;47;100;Song;ZA;0;0.13037792
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;2;100;Song;ZA;0;0.00175098
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;4;100;Song;TR;0;0.00669708
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;5;100;Song;SE;0;0.01353652
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;20;100;Song;RU;0;0.06535303
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;6;100;Song;NZ;0;0.06376093
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;NZ;0;0.00301603
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;NZ;0;0.00301603
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;NG;0;0.00063476
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;MY;0;0.00149964
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;7;100;Song;KZ;0;0.00500073
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;MX;0;0.00239417
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;4;100;Song;MX;0;0.00957668
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;MX;0;0.00474766
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;3;100;Song;FR;0;0.00592871
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;9;100;Song;FR;0;0.05794562
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;63;100;Song;FR;0;0.13198881
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;16;100;Song;FR;0;0.03352097
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;13;100;Song;DE;0;0.04020327
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;JP;0;0.00884314
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;40;100;Song;DE;0;0.26854297
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;3;100;Song;DE;0;0.00655723
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;AT;0;0.00352408
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;2;100;Song;FI;0;0.01884304
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;PT;0;0.00669481
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;2;100;Song;ES;0;0.01651658
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;12;100;Song;IN;0;0.02744874
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;4;100;Song;GB;0;0.03147527
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;6;100;Song;GB;0;0.02872593
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;24;100;Song;GB;0;0.12391747
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;9;100;Song;GB;0;0.04646905
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;9;100;Song;GB;0;0.09254430
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;4;100;Song;GB;0;0.04073699
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;35;100;Song;GB;0;0.35644870
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;GB;0;0.00335464
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;12;100;Song;GB;0;0.04025568
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;45;100;Song;CA;0;0.19396924
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;2;100;Song;CA;0;0.00862086
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;CA;0;0.00205162
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;2;100;Song;CA;0;0.00508814
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;CA;0;0.00206964
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;AU;0;0.00472428
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;17;100;Song;CA;0;0.06727930
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;271;100;Song;CA;0;1.07251126
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;9;100;Song;AU;0;0.06528411
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;AU;0;0.00245478
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;53;100;Song;AU;0;0.13010321
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;240;100;Song;CA;0;1.68831837
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;38;100;Song;CA;0;0.26731708
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;70;100;Song;CA;0;0.18843670
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;379;100;Song;CA;0;1.02025014
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;13;100;Song;CH;0;0.06265650
2019-09-26;2019-08;Apple Music;FRVRFRIDAY;Maliblue;QZHN31922730;;23;100;Song;CH;0;0.17046652
2019-09-27;2019-08;YouTube (Ads);FRVRFRIDAY;Maliblue;QZHN31922730;;5;100;Song;US;0;0.00366300
2019-09-27;2019-08;YouTube (Ads);FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;AR;0;0.00000000
2019-09-27;2019-08;YouTube (Ads);FRVRFRIDAY;Maliblue;QZHN31922730;;2;100;Song;AU;0;0.00020400
2019-09-27;2019-08;YouTube (Ads);FRVRFRIDAY;Maliblue;QZHN31922730;;2;100;Song;BR;0;0.00172500
2019-09-27;2019-08;YouTube (Ads);FRVRFRIDAY;Maliblue;QZHN31922730;;3;100;Song;CA;0;0.00233700
2019-09-27;2019-08;YouTube (Ads);FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;DE;0;0.00000000
2019-09-27;2019-08;YouTube (Ads);FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;FR;0;0.00188800
2019-09-27;2019-08;YouTube (Ads);FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;GB;0;0.00000000
2019-09-27;2019-08;YouTube (Ads);FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;GR;0;0.00000000
2019-09-27;2019-08;YouTube (Ads);FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;HU;0;0.00000000
2019-09-27;2019-08;YouTube (Ads);FRVRFRIDAY;Maliblue;QZHN31922730;;6;100;Song;US;0;0.01495300
2019-09-27;2019-08;YouTube (Ads);FRVRFRIDAY;Maliblue;QZHN31922730;;3;100;Song;ZA;0;0.00122000
2019-09-27;2019-08;YouTube (Ads);FRVRFRIDAY;Maliblue;QZHN31922730;;3;100;Song;CA;0;0.02369800
2019-09-27;2019-08;YouTube (Ads);FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;CO;0;0.00000000
2019-09-27;2019-08;YouTube (Ads);FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;FR;0;0.00000000
2019-09-27;2019-08;YouTube (Ads);FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;NO;0;0.00000000
2019-09-27;2019-08;YouTube (Ads);FRVRFRIDAY;Maliblue;QZHN31922730;;2;100;Song;US;0;0.01167600
2019-09-27;2019-08;YouTube (Ads);FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;CA;0;0.00435200
2019-09-27;2019-08;YouTube (Ads);FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;GB;0;0.00000000
2019-09-27;2019-08;YouTube (Ads);FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;GR;0;0.00000000
2019-09-27;2019-08;YouTube (Ads);FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;US;0;0.00260600
2019-09-27;2019-08;YouTube (Ads);FRVRFRIDAY;Maliblue;QZHN31922730;;2;100;Song;CA;0;0.02034200
2019-09-27;2019-08;YouTube (Ads);FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;ES;0;0.00000000
2019-09-27;2019-08;YouTube (Ads);FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;GB;0;0.00203900
2019-09-27;2019-08;YouTube (Ads);FRVRFRIDAY;Maliblue;QZHN31922730;;4;100;Song;GR;0;0.00000000
2019-09-27;2019-08;YouTube (Ads);FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;IE;0;0.00000000
2019-09-27;2019-08;YouTube (Ads);FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;NL;0;0.00000000
2019-09-27;2019-08;YouTube (Red);FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;BR;0;0.00743100
2019-09-27;2019-08;YouTube (Red);FRVRFRIDAY;Maliblue;QZHN31922730;;7;100;Song;BR;0;0.05201400
