,0
0,"['Granularity:', 'quarter', 'Historical sum:', 5034428, 'Historical length:', 40, 'Historical average:', 125861.0, 'Theta_sum:', 1453722.0, 'Theta average:', 161525.0]"
1,"['Granularity:', 'quarter', 'Historical sum:', 1258297, 'Historical length:', 6, 'Historical average:', 209716.0, 'Theta_sum:', 2054018.0, 'Theta average:', 228224.0]"
2,"['Granularity:', 'quarter', 'Historical sum:', 3376418, 'Historical length:', 5, 'Historical average:', 675284.0, 'Theta_sum:', 6048430.0, 'Theta average:', 672048.0]"
3,"['Granularity:', 'quarter', 'Historical sum:', 751476, 'Historical length:', 7, 'Historical average:', 107354.0, 'Theta_sum:', 953440.0, 'Theta average:', 105938.0]"
4,"['Granularity:', 'quarter', 'Historical sum:', 3772995, 'Historical length:', 9, 'Historical average:', 419222.0, 'Theta_sum:', 10170328.0, 'Theta average:', 1130036.0]"
5,"['Granularity:', 'quarter', 'Historical sum:', 1958586, 'Historical length:', 6, 'Historical average:', 326431.0, 'Theta_sum:', 3021553.0, 'Theta average:', 335728.0]"
6,"['Granularity:', 'quarter', 'Historical sum:', 3361780, 'Historical length:', 11, 'Historical average:', 305616.0, 'Theta_sum:', 2913004.0, 'Theta average:', 323667.0]"
7,"['Granularity:', 'quarter', 'Historical sum:', 220599, 'Historical length:', 5, 'Historical average:', 44120.0, 'Theta_sum:', 397090.0, 'Theta average:', 44121.0]"
8,"['Granularity:', 'quarter', 'Historical sum:', 7684209, 'Historical length:', 21, 'Historical average:', 365915.0, 'Theta_sum:', 2729309.0, 'Theta average:', 303257.0]"
9,"['Granularity:', 'quarter', 'Historical sum:', 655891, 'Historical length:', 5, 'Historical average:', 131178.0, 'Theta_sum:', 1107888.0, 'Theta average:', 123099.0]"
10,"['Granularity:', 'quarter', 'Historical sum:', 16805765, 'Historical length:', 22, 'Historical average:', 763898.0, 'Theta_sum:', 6292712.0, 'Theta average:', 699190.0]"
11,"['Granularity:', 'quarter', 'Historical sum:', 7939601, 'Historical length:', 25, 'Historical average:', 317584.0, 'Theta_sum:', 2364791.0, 'Theta average:', 262755.0]"
12,"['Granularity:', 'quarter', 'Historical sum:', 950715, 'Historical length:', 7, 'Historical average:', 135816.0, 'Theta_sum:', 1261814.0, 'Theta average:', 140202.0]"
13,"['Granularity:', 'quarter', 'Historical sum:', 736900, 'Historical length:', 3, 'Historical average:', 245633.0, 'Theta_sum:', 2211857.0, 'Theta average:', 245762.0]"
14,"['Granularity:', 'quarter', 'Historical sum:', 4897007, 'Historical length:', 24, 'Historical average:', 204042.0, 'Theta_sum:', 1780079.0, 'Theta average:', 197787.0]"
15,"['Granularity:', 'quarter', 'Historical sum:', 781242, 'Historical length:', 10, 'Historical average:', 78124.0, 'Theta_sum:', 450053.0, 'Theta average:', 50006.0]"
16,"['Granularity:', 'quarter', 'Historical sum:', 7517866, 'Historical length:', 19, 'Historical average:', 395677.0, 'Theta_sum:', 3548428.0, 'Theta average:', 394270.0]"
17,"['Granularity:', 'quarter', 'Historical sum:', 314494, 'Historical length:', 6, 'Historical average:', 52416.0, 'Theta_sum:', 351449.0, 'Theta average:', 39050.0]"
18,"['Granularity:', 'quarter', 'Historical sum:', 11198478, 'Historical length:', 8, 'Historical average:', 1399810.0, 'Theta_sum:', 2890555.0, 'Theta average:', 321173.0]"
19,"['Granularity:', 'quarter', 'Historical sum:', 1368376, 'Historical length:', 4, 'Historical average:', 342094.0, 'Theta_sum:', 3676198.0, 'Theta average:', 408466.0]"
20,"['Granularity:', 'quarter', 'Historical sum:', 2254521, 'Historical length:', 11, 'Historical average:', 204956.0, 'Theta_sum:', 4158533.0, 'Theta average:', 462059.0]"
21,"['Granularity:', 'quarter', 'Historical sum:', 1520952, 'Historical length:', 8, 'Historical average:', 190119.0, 'Theta_sum:', 1575136.0, 'Theta average:', 175015.0]"
22,"['Granularity:', 'quarter', 'Historical sum:', 15003385, 'Historical length:', 39, 'Historical average:', 384702.0, 'Theta_sum:', 3703900.0, 'Theta average:', 411544.0]"
23,"['Granularity:', 'quarter', 'Historical sum:', 75087055, 'Historical length:', 41, 'Historical average:', 1831392.0, 'Theta_sum:', 22296217.0, 'Theta average:', 2477357.0]"
